name,x,y,abstention
Ranrupt,7.196195664885828,48.37376528623303,17.29559748427673
Saales,7.110354613748181,48.351665430772194,17.162872154115586
Saint-Blaise-la-Roche,7.1738666385293834,48.407360938848655,26.737967914438503
Saulxures,7.123644433322697,48.39240319000002,9
Saulxures,7.123644433322697,48.39240319000002,18.84422110552764
Barembach,7.243513555322348,48.46703833340468,20.389805097451273
Bellefosse,7.234854019143701,48.39489323895242,18.115942028985508
Belmont,7.253319354626134,48.410376662588874,15.873015873015872
Belmont,7.253319354626134,48.410376662588874,10.16949152542373
Belmont,7.253319354626134,48.410376662588874,15.549597855227882
Belmont,7.253319354626134,48.410376662588874,13.5678391959799
Belmont,7.253319354626134,48.410376662588874,23.076923076923077
Belmont,7.253319354626134,48.410376662588874,10.240963855421686
Belmont,7.253319354626134,48.410376662588874,10.833333333333334
